"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"CAQ",7,2,1,3,7,1,1,1,3,7,0,4,10,3,1,4,4,1,3,2,7,7,4,7,4,1,2,1,13,4,1,9,7,1,1,2,7,4,4,11,7,9,4,2,11,5,1,4,1,2,4,3,1,1,2,5,10,3,3,9,3,1,2,1,4,4,7,3,2,7,7,0,3,4,7,1,4,7,4,3,7,1,2,3,7,4,1,4,12,12,12,5,2,3,4,1,2,4,2,7,4,4,4,4,7,5,4,5,1,2,4,1,3,5,7,1,4,6,1,2,1,7,7,2,4,3,7,9,14,4,7,11,9,1,4,11,1,9,2,4,5,3,9,2,3,4,7,2,3
"CFR",11,2,3,7,11,3,5,5,7,11,4,0,14,1,5,0,0,5,1,2,11,11,0,11,0,5,2,5,17,0,3,13,11,3,5,6,11,0,0,15,11,13,0,6,15,9,3,0,5,6,0,1,5,5,2,9,14,1,1,13,1,3,2,5,0,0,11,1,6,11,11,4,1,0,11,5,0,11,0,1,11,5,2,1,11,0,5,0,16,16,16,9,2,1,0,3,2,0,2,11,0,0,0,0,11,9,0,9,5,2,0,5,1,9,11,5,0,10,5,2,3,11,11,6,0,1,11,13,18,0,11,15,13,3,0,15,5,13,2,0,9,1,13,6,7,0,11,2,1
"CK7",3,12,11,7,3,11,9,9,7,3,10,14,0,13,9,14,14,9,13,12,3,3,14,3,14,9,12,9,3,14,11,1,3,11,9,8,3,14,14,1,3,1,14,8,1,5,11,14,9,8,14,13,9,9,12,5,0,13,13,1,13,11,12,9,14,14,3,13,8,3,3,10,13,14,3,9,14,3,14,13,3,9,12,13,3,14,9,14,2,2,2,5,12,13,14,11,12,14,12,3,14,14,14,14,3,5,14,5,9,12,14,9,13,5,3,9,14,4,9,12,11,3,3,8,14,13,3,1,4,14,3,1,1,11,14,1,9,1,12,14,5,13,1,8,7,14,3,12,13
"CNS",10,1,2,6,10,2,4,4,6,10,3,1,13,0,4,1,1,4,0,1,10,10,1,10,1,4,1,4,16,1,2,12,10,2,4,5,10,1,1,14,10,12,1,5,14,8,2,1,4,5,1,0,4,4,1,8,13,0,0,12,0,2,1,4,1,1,10,0,5,10,10,3,0,1,10,4,1,10,1,0,10,4,1,0,10,1,4,1,15,15,15,8,1,0,1,2,1,1,1,10,1,1,1,1,10,8,1,8,4,1,1,4,0,8,10,4,1,9,4,1,2,10,10,5,1,0,10,12,17,1,10,14,12,2,1,14,4,12,1,1,8,0,12,5,6,1,10,1,0
"CRM",6,3,2,2,6,2,0,0,2,6,1,5,9,4,0,5,5,0,4,3,6,6,5,6,5,0,3,0,12,5,2,8,6,2,0,1,6,5,5,10,6,8,5,1,10,4,2,5,0,1,5,4,0,0,3,4,9,4,4,8,4,2,3,0,5,5,6,4,1,6,6,1,4,5,6,0,5,6,5,4,6,0,3,4,6,5,0,5,11,11,11,4,3,4,5,2,3,5,3,6,5,5,5,5,6,4,5,4,0,3,5,0,4,4,6,0,5,5,0,3,2,6,6,1,5,4,6,8,13,5,6,10,8,2,5,10,0,8,3,5,4,4,8,1,2,5,6,3,4
"CRN",11,2,3,7,11,3,5,5,7,11,4,0,14,1,5,0,0,5,1,2,11,11,0,11,0,5,2,5,17,0,3,13,11,3,5,6,11,0,0,15,11,13,0,6,15,9,3,0,5,6,0,1,5,5,2,9,14,1,1,13,1,3,2,5,0,0,11,1,6,11,11,4,1,0,11,5,0,11,0,1,11,5,2,1,11,0,5,0,16,16,16,9,2,1,0,3,2,0,2,11,0,0,0,0,11,9,0,9,5,2,0,5,1,9,11,5,0,10,5,2,3,11,11,6,0,1,11,13,18,0,11,15,13,3,0,15,5,13,2,0,9,1,13,6,7,0,11,2,1
"CZE",11,2,3,7,11,3,5,5,7,11,4,0,14,1,5,0,0,5,1,2,11,11,0,11,0,5,2,5,17,0,3,13,11,3,5,6,11,0,0,15,11,13,0,6,15,9,3,0,5,6,0,1,5,5,2,9,14,1,1,13,1,3,2,5,0,0,11,1,6,11,11,4,1,0,11,5,0,11,0,1,11,5,2,1,11,0,5,0,16,16,16,9,2,1,0,3,2,0,2,11,0,0,0,0,11,9,0,9,5,2,0,5,1,9,11,5,0,10,5,2,3,11,11,6,0,1,11,13,18,0,11,15,13,3,0,15,5,13,2,0,9,1,13,6,7,0,11,2,1
"D3H",6,3,2,2,6,2,0,0,2,6,1,5,9,4,0,5,5,0,4,3,6,6,5,6,5,0,3,0,12,5,2,8,6,2,0,1,6,5,5,10,6,8,5,1,10,4,2,5,0,1,5,4,0,0,3,4,9,4,4,8,4,2,3,0,5,5,6,4,1,6,6,1,4,5,6,0,5,6,5,4,6,0,3,4,6,5,0,5,11,11,11,4,3,4,5,2,3,5,3,6,5,5,5,5,6,4,5,4,0,3,5,0,4,4,6,0,5,5,0,3,2,6,6,1,5,4,6,8,13,5,6,10,8,2,5,10,0,8,3,5,4,4,8,1,2,5,6,3,4
"D7G",10,1,2,6,10,2,4,4,6,10,3,1,13,0,4,1,1,4,0,1,10,10,1,10,1,4,1,4,16,1,2,12,10,2,4,5,10,1,1,14,10,12,1,5,14,8,2,1,4,5,1,0,4,4,1,8,13,0,0,12,0,2,1,4,1,1,10,0,5,10,10,3,0,1,10,4,1,10,1,0,10,4,1,0,10,1,4,1,15,15,15,8,1,0,1,2,1,1,1,10,1,1,1,1,10,8,1,8,4,1,1,4,0,8,10,4,1,9,4,1,2,10,10,5,1,0,10,12,17,1,10,14,12,2,1,14,4,12,1,1,8,0,12,5,6,1,10,1,0
"D88",9,0,1,5,9,1,3,3,5,9,2,2,12,1,3,2,2,3,1,0,9,9,2,9,2,3,0,3,15,2,1,11,9,1,3,4,9,2,2,13,9,11,2,4,13,7,1,2,3,4,2,1,3,3,0,7,12,1,1,11,1,1,0,3,2,2,9,1,4,9,9,2,1,2,9,3,2,9,2,1,9,3,0,1,9,2,3,2,14,14,14,7,0,1,2,1,0,2,0,9,2,2,2,2,9,7,2,7,3,0,2,3,1,7,9,3,2,8,3,0,1,9,9,4,2,1,9,11,16,2,9,13,11,1,2,13,3,11,0,2,7,1,11,4,5,2,9,0,1
