"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"DUB",20,25,23,16,21,16,29,1,30,15,1,0,30,29,13,10,18,19,23,19,25,23,21,22,16,18,30,24,26,19,25,27,23,28,22,28,13,5,16,9,20,21,25,18,15,26,30,15,27,29,21,29,26,24,2,27,18,6,23,20,3,30,29,25,7,20,2,22,3,26,29,24,29,11,15,23,10,14,25,24,19,22,31,24,19,26,28,23,23,16,16,23,8,22,9,28,23,20,28,14,31,31,12,28,29,30,30,16,20,30,7,31,30,29,28,18,28
"DWH",10,5,7,14,9,14,1,29,0,15,29,30,0,1,17,20,12,11,7,11,5,7,9,8,14,12,0,6,4,11,5,3,7,2,8,2,17,25,14,21,10,9,5,12,15,4,0,15,3,1,9,1,4,6,28,3,12,24,7,10,27,0,1,5,23,10,32,8,27,4,1,6,1,19,15,7,20,16,5,6,11,8,1,6,11,4,2,7,7,14,14,7,22,8,21,2,7,10,2,16,1,1,18,2,1,0,0,14,10,0,23,1,0,1,2,12,2
"DY7",9,4,6,13,8,13,0,28,1,14,28,29,1,0,16,19,11,10,6,10,4,6,8,7,13,11,1,5,3,10,4,2,6,1,7,1,16,24,13,20,9,8,4,11,14,3,1,14,2,0,8,0,3,5,27,2,11,23,6,9,26,1,0,4,22,9,31,7,26,3,0,5,0,18,14,6,19,15,4,5,10,7,2,5,10,3,1,6,6,13,13,6,21,7,20,1,6,9,1,15,2,2,17,1,0,1,1,13,9,1,22,2,1,0,1,11,1
"DYG",7,12,10,3,8,3,16,12,17,2,12,13,17,16,0,3,5,6,10,6,12,10,8,9,3,5,17,11,13,6,12,14,10,15,9,15,0,8,3,4,7,8,12,5,2,13,17,2,14,16,8,16,13,11,11,14,5,7,10,7,10,17,16,12,6,7,15,9,10,13,16,11,16,2,2,10,3,1,12,11,6,9,18,11,6,13,15,10,10,3,3,10,5,9,4,15,10,7,15,1,18,18,1,15,16,17,17,3,7,17,6,18,17,16,15,5,15
"E1F",10,15,13,6,11,6,19,9,20,5,9,10,20,19,3,0,8,9,13,9,15,13,11,12,6,8,20,14,16,9,15,17,13,18,12,18,3,5,6,1,10,11,15,8,5,16,20,5,17,19,11,19,16,14,8,17,8,4,13,10,7,20,19,15,3,10,12,12,7,16,19,14,19,1,5,13,0,4,15,14,9,12,21,14,9,16,18,13,13,6,6,13,2,12,1,18,13,10,18,4,21,21,2,18,19,20,20,6,10,20,3,21,20,19,18,8,18
"ERD",2,7,5,2,3,2,11,17,12,3,17,18,12,11,5,8,0,1,5,1,7,5,3,4,2,0,12,6,8,1,7,9,5,10,4,10,5,13,2,9,2,3,7,0,3,8,12,3,9,11,3,11,8,6,16,9,0,12,5,2,15,12,11,7,11,2,20,4,15,8,11,6,11,7,3,5,8,4,7,6,1,4,13,6,1,8,10,5,5,2,2,5,10,4,9,10,5,2,10,4,13,13,6,10,11,12,12,2,2,12,11,13,12,11,10,0,10
"F06",1,6,4,3,2,3,10,18,11,4,18,19,11,10,6,9,1,0,4,0,6,4,2,3,3,1,11,5,7,0,6,8,4,9,3,9,6,14,3,10,1,2,6,1,4,7,11,4,8,10,2,10,7,5,17,8,1,13,4,1,16,11,10,6,12,1,21,3,16,7,10,5,10,8,4,4,9,5,6,5,0,3,12,5,0,7,9,4,4,3,3,4,11,3,10,9,4,1,9,5,12,12,7,9,10,11,11,3,1,11,12,12,11,10,9,1,9
"F3C",3,2,0,7,2,7,6,22,7,8,22,23,7,6,10,13,5,4,0,4,2,0,2,1,7,5,7,1,3,4,2,4,0,5,1,5,10,18,7,14,3,2,2,5,8,3,7,8,4,6,2,6,3,1,21,4,5,17,0,3,20,7,6,2,16,3,25,1,20,3,6,1,6,12,8,0,13,9,2,1,4,1,8,1,4,3,5,0,0,7,7,0,15,1,14,5,0,3,5,9,8,8,11,5,6,7,7,7,3,7,16,8,7,6,5,5,5
"F6V",1,6,4,3,2,3,10,18,11,4,18,19,11,10,6,9,1,0,4,0,6,4,2,3,3,1,11,5,7,0,6,8,4,9,3,9,6,14,3,10,1,2,6,1,4,7,11,4,8,10,2,10,7,5,17,8,1,13,4,1,16,11,10,6,12,1,21,3,16,7,10,5,10,8,4,4,9,5,6,5,0,3,12,5,0,7,9,4,4,3,3,4,11,3,10,9,4,1,9,5,12,12,7,9,10,11,11,3,1,11,12,12,11,10,9,1,9
"FCZ",5,0,2,9,4,9,4,24,5,10,24,25,5,4,12,15,7,6,2,6,0,2,4,3,9,7,5,1,1,6,0,2,2,3,3,3,12,20,9,16,5,4,0,7,10,1,5,10,2,4,4,4,1,1,23,2,7,19,2,5,22,5,4,0,18,5,27,3,22,1,4,1,4,14,10,2,15,11,0,1,6,3,6,1,6,1,3,2,2,9,9,2,17,3,16,3,2,5,3,11,6,6,13,3,4,5,5,9,5,5,18,6,5,4,3,7,3
