"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"A19",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,4,4,1,1,2,3,0,0,1,1,0,1,1,1,3,3,1,2,0,1,0,1,0,0,0,2,3,0,1,0,3,1,0,0,3,2,0,2,0,1,1,2,1,0,0,2,1,1,1,1,3,2,0,1,2,0,2,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,1,1,1,0,3,1,0,2,0,0,0,1,1,4,2,0,0,1,0,0,2,2,1,3,1,2,3,1,2,0,1,1,1,1,2
"A1J",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,4,4,1,1,2,3,0,0,1,1,0,1,1,1,3,3,1,2,0,1,0,1,0,0,0,2,3,0,1,0,3,1,0,0,3,2,0,2,0,1,1,2,1,0,0,2,1,1,1,1,3,2,0,1,2,0,2,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,1,1,1,0,3,1,0,2,0,0,0,1,1,4,2,0,0,1,0,0,2,2,1,3,1,2,3,1,2,0,1,1,1,1,2
"AGQ",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,4,4,1,1,2,3,0,0,1,1,0,1,1,1,3,3,1,2,0,1,0,1,0,0,0,2,3,0,1,0,3,1,0,0,3,2,0,2,0,1,1,2,1,0,0,2,1,1,1,1,3,2,0,1,2,0,2,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,1,1,1,0,3,1,0,2,0,0,0,1,1,4,2,0,0,1,0,0,2,2,1,3,1,2,3,1,2,0,1,1,1,1,2
"AGT",1,1,1,0,1,0,2,1,1,0,2,0,1,1,0,1,0,0,1,1,1,4,0,2,1,1,1,1,2,0,1,1,2,1,0,1,1,1,1,2,3,3,1,2,3,4,1,1,0,2,1,2,2,2,4,2,0,1,1,0,1,2,1,1,1,2,2,1,0,1,2,2,1,1,2,3,1,3,0,2,2,1,2,0,1,2,2,2,2,0,2,3,1,2,3,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,0,1,1,1,2,1,0,0,2,2,1,3,1,0,1,2,0,3,3,1,1,2,1,1,3,1,2,2,2,3,2,2,3,1,2,2,2,2,3
"AJW",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,4,4,1,1,2,3,0,0,1,1,0,1,1,1,3,3,1,2,0,1,0,1,0,0,0,2,3,0,1,0,3,1,0,0,3,2,0,2,0,1,1,2,1,0,0,2,1,1,1,1,3,2,0,1,2,0,2,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,1,1,1,0,3,1,0,2,0,0,0,1,1,4,2,0,0,1,0,0,2,2,1,3,1,2,3,1,2,0,1,1,1,1,2
"ASY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,2,0,1,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,2,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,1,2,1,1,1,0,1,1,1,0,2
"AZE",1,1,1,2,1,0,0,1,0,2,0,0,1,1,0,1,2,1,0,1,1,2,0,0,1,1,1,1,2,0,1,1,0,1,1,1,0,1,1,2,3,3,0,2,1,2,0,1,2,0,1,0,0,0,2,2,2,1,1,2,1,2,1,1,1,1,2,1,2,1,2,0,1,1,2,1,1,3,1,2,0,1,2,1,1,1,2,2,0,2,2,1,1,0,1,1,1,1,1,1,1,0,1,1,3,1,1,1,1,0,1,1,1,1,2,2,2,1,4,0,1,1,1,1,1,2,2,3,1,1,1,0,1,1,1,1,0,2,2,3,2,2,1,1,2,2,2,0,3
"B5X",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,4,4,1,1,2,3,0,0,1,1,0,1,1,1,3,3,1,2,0,1,0,1,0,0,0,2,3,0,1,0,3,1,0,0,3,2,0,2,0,1,1,2,1,0,0,2,1,1,1,1,3,2,0,1,2,0,2,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,1,1,1,0,3,1,0,2,0,0,0,1,1,4,2,0,0,1,0,0,2,2,1,3,1,2,3,1,2,0,1,1,1,1,2
"C3P",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,3,0,1,1,2,0,0,1,0,0,0,0,0,2,2,1,1,0,1,0,1,0,0,0,1,2,0,1,0,2,0,0,0,2,1,0,2,0,1,0,1,1,0,0,1,1,1,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,1,1,0,3,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,1,0,2,1,2,2,1,1,0,1,1,1,0,2
"C8A",1,1,1,0,1,0,2,1,1,0,2,0,1,1,0,1,0,0,1,1,1,4,0,2,1,1,1,1,2,0,1,1,2,1,0,1,1,1,1,2,3,3,1,2,3,4,1,1,0,2,1,2,2,2,4,2,0,1,1,0,1,2,1,1,1,2,2,1,0,1,2,2,1,1,2,3,1,3,0,2,2,1,2,0,1,2,2,2,2,0,2,3,1,2,3,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,0,1,1,1,2,1,0,0,2,2,1,3,1,0,1,2,0,3,3,1,1,2,1,1,3,1,2,2,2,3,2,2,3,1,2,2,2,2,3
"CAQ",1,1,1,2,1,0,0,1,0,2,0,0,1,1,0,1,2,1,0,1,1,2,0,0,1,1,1,1,2,0,1,1,0,1,1,1,0,1,1,2,3,3,0,2,1,2,0,1,2,0,1,0,0,0,2,2,2,1,1,2,1,2,1,1,1,1,2,1,2,1,2,0,1,1,2,1,1,3,1,2,0,1,2,1,1,1,2,2,0,2,2,1,1,0,1,1,1,1,1,1,1,0,1,1,3,1,1,1,1,0,1,1,1,1,2,2,2,1,4,0,1,1,1,1,1,2,2,3,1,1,1,0,1,1,1,1,0,2,2,3,2,2,1,1,2,2,2,0,3
"CFR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CK7",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,4,4,1,1,2,3,0,0,1,1,0,1,1,1,3,3,1,2,0,1,0,1,0,0,0,2,3,0,1,0,3,1,0,0,3,2,0,2,0,1,1,2,1,0,0,2,1,1,1,1,3,2,0,1,2,0,2,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,1,1,1,0,3,1,0,2,0,0,0,1,1,4,2,0,0,1,0,0,2,2,1,3,1,2,3,1,2,0,1,1,1,1,2
