"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"CAQ",31,9,7,10,11,1,13,9,13,27,0,4,9,14,5,10,14,14,1,12,4,18,3,10,9,0,7,2,2,13,14,11,1,11,10,7,32,6,10,3,29,0,14,8,50,52,11,13,12,1,3,13,7,14,10,20,34,12,14,4,8,12,9,1,12,9,6,10,9,10,9,15,14,12,1,5,0,10,5,13,6,56,13,1,3,6,2,8,24,36,5,4,13,10,10,12,10,12,1,1,9,14,2,11,34,12,2,9,13,12,7,13,7,5,17,14,13,11,3,12,12,2,12,12,12,6,6,7,3,14,7,3,7,12,10,18,12,13,10,10,3,7,29,0,11,9,30,11,7
"CFR",35,5,11,14,7,3,9,5,9,31,4,0,5,10,1,6,10,10,3,8,0,22,1,6,5,4,3,2,2,9,10,15,5,7,6,3,36,2,6,1,33,4,10,4,54,56,7,9,8,3,1,9,11,10,6,24,38,8,10,0,4,8,5,3,8,5,10,6,5,6,13,11,10,8,3,1,4,14,9,9,2,60,9,5,7,2,2,4,28,40,9,8,9,6,6,8,6,8,5,3,5,10,6,15,38,8,2,5,9,8,3,9,3,1,21,10,9,7,1,8,8,6,8,8,8,2,2,3,1,10,11,7,3,8,6,22,8,9,14,6,1,3,33,4,7,5,34,7,3
"CK7",40,0,16,19,2,8,4,0,4,36,9,5,0,5,4,1,5,5,8,3,5,27,6,1,0,9,2,7,7,4,5,20,10,2,1,2,41,3,1,6,38,9,5,1,59,61,2,4,3,8,6,4,16,5,1,29,43,3,5,5,1,3,0,8,3,0,15,1,0,1,18,6,5,3,8,4,9,19,14,4,3,65,4,10,12,3,7,1,33,45,14,13,4,1,1,3,1,3,10,8,0,5,11,20,43,3,7,0,4,3,2,4,2,4,26,5,4,2,6,3,3,11,3,3,3,3,3,2,6,5,16,12,2,3,1,27,3,4,19,1,6,2,38,9,2,0,39,2,2
"CNS",45,5,21,24,3,13,1,5,1,41,14,10,5,0,9,4,0,0,13,2,10,32,11,4,5,14,7,12,12,1,0,25,15,3,4,7,46,8,4,11,43,14,0,6,64,66,3,1,2,13,11,1,21,0,4,34,48,2,0,10,6,2,5,13,2,5,20,4,5,4,23,1,0,2,13,9,14,24,19,1,8,70,1,15,17,8,12,6,38,50,19,18,1,4,4,2,4,2,15,13,5,0,16,25,48,2,12,5,1,2,7,1,7,9,31,0,1,3,11,2,2,16,2,2,2,8,8,7,11,0,21,17,7,2,4,32,2,1,24,4,11,7,43,14,3,5,44,3,7
"CRM",36,4,12,15,6,4,8,4,8,32,5,1,4,9,0,5,9,9,4,7,1,23,2,5,4,5,2,3,3,8,9,16,6,6,5,2,37,1,5,2,34,5,9,3,55,57,6,8,7,4,2,8,12,9,5,25,39,7,9,1,3,7,4,4,7,4,11,5,4,5,14,10,9,7,4,0,5,15,10,8,1,61,8,6,8,1,3,3,29,41,10,9,8,5,5,7,5,7,6,4,4,9,7,16,39,7,3,4,8,7,2,8,2,0,22,9,8,6,2,7,7,7,7,7,7,1,1,2,2,9,12,8,2,7,5,23,7,8,15,5,2,2,34,5,6,4,35,6,2
"CRN",41,1,17,20,1,9,3,1,3,37,10,6,1,4,5,0,4,4,9,2,6,28,7,0,1,10,3,8,8,3,4,21,11,1,0,3,42,4,0,7,39,10,4,2,60,62,1,3,2,9,7,3,17,4,0,30,44,2,4,6,2,2,1,9,2,1,16,0,1,0,19,5,4,2,9,5,10,20,15,3,4,66,3,11,13,4,8,2,34,46,15,14,3,0,0,2,0,2,11,9,1,4,12,21,44,2,8,1,3,2,3,3,3,5,27,4,3,1,7,2,2,12,2,2,2,4,4,3,7,4,17,13,3,2,0,28,2,3,20,0,7,3,39,10,1,1,40,1,3
"CZE",45,5,21,24,3,13,1,5,1,41,14,10,5,0,9,4,0,0,13,2,10,32,11,4,5,14,7,12,12,1,0,25,15,3,4,7,46,8,4,11,43,14,0,6,64,66,3,1,2,13,11,1,21,0,4,34,48,2,0,10,6,2,5,13,2,5,20,4,5,4,23,1,0,2,13,9,14,24,19,1,8,70,1,15,17,8,12,6,38,50,19,18,1,4,4,2,4,2,15,13,5,0,16,25,48,2,12,5,1,2,7,1,7,9,31,0,1,3,11,2,2,16,2,2,2,8,8,7,11,0,21,17,7,2,4,32,2,1,24,4,11,7,43,14,3,5,44,3,7
"D3H",45,5,21,24,3,13,1,5,1,41,14,10,5,0,9,4,0,0,13,2,10,32,11,4,5,14,7,12,12,1,0,25,15,3,4,7,46,8,4,11,43,14,0,6,64,66,3,1,2,13,11,1,21,0,4,34,48,2,0,10,6,2,5,13,2,5,20,4,5,4,23,1,0,2,13,9,14,24,19,1,8,70,1,15,17,8,12,6,38,50,19,18,1,4,4,2,4,2,15,13,5,0,16,25,48,2,12,5,1,2,7,1,7,9,31,0,1,3,11,2,2,16,2,2,2,8,8,7,11,0,21,17,7,2,4,32,2,1,24,4,11,7,43,14,3,5,44,3,7
"D7G",32,8,8,11,10,0,12,8,12,28,1,3,8,13,4,9,13,13,0,11,3,19,2,9,8,1,6,1,1,12,13,12,2,10,9,6,33,5,9,2,30,1,13,7,51,53,10,12,11,0,2,12,8,13,9,21,35,11,13,3,7,11,8,0,11,8,7,9,8,9,10,14,13,11,0,4,1,11,6,12,5,57,12,2,4,5,1,7,25,37,6,5,12,9,9,11,9,11,2,0,8,13,3,12,35,11,1,8,12,11,6,12,6,4,18,13,12,10,2,11,11,3,11,11,11,5,5,6,2,13,8,4,6,11,9,19,11,12,11,9,2,6,30,1,10,8,31,10,6
"D88",43,3,19,22,1,11,1,3,1,39,12,8,3,2,7,2,2,2,11,0,8,30,9,2,3,12,5,10,10,1,2,23,13,1,2,5,44,6,2,9,41,12,2,4,62,64,1,1,0,11,9,1,19,2,2,32,46,0,2,8,4,0,3,11,0,3,18,2,3,2,21,3,2,0,11,7,12,22,17,1,6,68,1,13,15,6,10,4,36,48,17,16,1,2,2,0,2,0,13,11,3,2,14,23,46,0,10,3,1,0,5,1,5,7,29,2,1,1,9,0,0,14,0,0,0,6,6,5,9,2,19,15,5,0,2,30,0,1,22,2,9,5,41,12,1,3,42,1,5
