"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","A_S"
"31","RTM","XPJ","M","MESTIZO",15.25,17.5392374571869,27.7,"CHRISTIAN","ONCEPERWEEK","AFEWTIMESPERWEEK","YES",7,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,57,1,0,4625.7,1,2,1,10
"32","RX9","RAP","M","MESTIZO",39.1666666666667,25.2345091821905,51.4,"CATHOLIC","AFEWTIMESPERMONTH","MORETHANONCEPERDAY","YES",5,"AGREE","DISAGREE","DISAGREE","AGREE",7,65,0,2,23371.2,2,1,1,23
"33","SA9","GP1","M","MESTIZO",34.0833333333333,20.390625,29.5625,"SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,54,1,0,704.2,2,2,2,0
"34","SAH","E3E","F","MESTIZO",26.4166666666667,36.5036420395421,23.025,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","YES",11,"DISAGREE","DONTKNOW","DISAGREE","DISAGREE",8,65,0,2,2112.2,2,2,1,19
"35","SCN","CPD","M","MESTIZO",42.1666666666667,23.9766319120451,26.5,"CHRISTIAN","AFEWTIMESPERMONTH","NEVER","YES",3,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,0,0,3,5455.2,2,2,1,3
"36","T5X","RAP","F","MESTIZO",61.8333333333333,34.0888888888889,20.65,"CATHOLIC","AFEWTIMESPERMONTH","MORETHANONCEPERDAY","YES",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,65,1,7,23371.2,2,1,1,4
"37","T8A","V1F","M","MESTIZO",39.0833333333333,28.360839609037,25.95,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,44,0,1,23719.2,2,1,1,2
"38","TS8","V59","F","MESTIZO",34.5833333333333,40.7075962539022,26.35,"CATHOLIC","AFEWTIMESPERYEAR","NEVER","YES",3,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,24,2,1,3806.2,2,2,1,3
"39","TUH","KEA","F","MESTIZO",27,19.2805974698979,27.4,"CATHOLIC","AFEWTIMESPERMONTH","NEVER","NO",11,"DISAGREE","DISAGREE","AGREE","DISAGREE",9,36,0,0,4064.2,2,2,2,23
"40","U1J","WYS","F","MESTIZO",57.0833333333333,28.3111111111111,22.45,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",5,"AGREE","DISAGREE","AGREE","AGREE",8,65,0,2,6273.2,2,1,2,5
"41","U3A","BT9","M","MESTIZO",34.3333333333333,25.4680384550514,29.5625,"SPIRITUAL","NEVER","NEVER","NO",5,"DISAGREE","DISAGREE","DISAGREE","AGREE",8,62,3,1,5125.2,2,2,2,5
"42","U5Q","XPJ","F","MESTIZO",44.8333333333333,27.1084337349398,40.95,"CHRISTIAN","ONCEPERWEEK","EVERYDAY","YES",3,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",10,55,5,7,4625.7,1,1,1,5
"43","U7Y","WYS","M","MESTIZO",68.75,25.46875,18.925,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",2,"AGREE","DONTKNOW","DISAGREE","AGREE",10,65,0,3,6273.2,2,2,2,2
"44","VR3","GP1","M","MESTIZO",19.5833333333333,17.6253805479891,29.5625,"SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",3,"DISAGREE","DISAGREE","DISAGREE","AGREE",10,57,1,0,704.2,2,2,2,3
"45","WAY","KQA","M","MESTIZO",14.3333333333333,19.6590324749812,40.45,"NONE","AFEWTIMESPERYEAR","EVERYDAY","NO",6,"DONTKNOW","DISAGREE","AGREE","DISAGREE",9,65,0,0,16305,2,1,2,11
"46","WN8","RAP","M","MESTIZO",31.4166666666667,25.7093425605536,41.25,"CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",12,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",8,65,0,1,23371.2,2,2,2,25
"47","WPU","WM8","M","AFROCOLOMBIAN",17.4166666666667,19.4388585655463,42.525,"CATHOLIC","ONCEPERWEEK","EVERYDAY","NO",12,"DONTKNOW","DISAGREE","DISAGREE","AGREE",9,65,0,0,5413.2,1,1,2,11
"48","WQV","Y0J","F","MESTIZO",23,26.5203475080018,20.7,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,11,0,2,3316.2,2,1,1,28
"49","X3T","KEA","F","MESTIZO",24,21.3398994562429,21.05,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",11,"DONTKNOW","DISAGREE","AGREE","DISAGREE",9,65,1,0,4064.2,2,1,2,21
"50","Y34","BQV","F","MESTIZO",29.1666666666667,29.1215297574668,26,"CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","DONTKNOW",2,"DISAGREE","DISAGREE","DONTKNOW","DISAGREE",8,51,0,1,1408.4,2,2,2,4
"51","Y3K","HHQ","F","MESTIZO",44.5,35.7879040392965,21.7,"CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",9,65,0,6,28314.2,2,2,1,3
"52","YHT","KQA","M","MESTIZO",33.3333333333333,22.9065743944637,42.675,"NONE","NEVER","NEVER","NO",4,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",8,65,0,1,16305,2,2,2,3
"53","YMS","V1F","M","MESTIZO",41,30.7923242322204,29.5625,"CATHOLIC","ONCEPERWEEK","NEVER","NO",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,0,0,0,23719.2,1,2,2,9
"54","Z5Y","WYS","F","MESTIZO",15.5833333333333,20.7825107900169,20.625,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",10,"DISAGREE","AGREE","AGREE","AGREE",10,65,0,0,6273.2,2,1,2,25
"55","Z6Z","XPJ","F","MESTIZO",24.9166666666667,26.0546875,31.325,"NONE","NEVER","NEVER","NO",6,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",10,61,3,1,4625.7,2,2,2,6
"56","ZST","V1F","F","MESTIZO",15.0833333333333,21.8938605619147,29.5625,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",10,"AGREE","DISAGREE","AGREE","DISAGREE",8,62,1,0,23719.2,2,1,1,27
"57","W01","TEP","F","MESTIZO",19.0833333333333,21.1702175577677,22.65,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",11,"AGREE","DONTKNOW","AGREE","DISAGREE",NA,NA,NA,0,4809.2,2,1,1,9
"58","TSK","TEP","F","MESTIZO",48.8333333333333,26.0365006943067,17.425,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"AGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,4,4809.2,2,1,1,0
"59","QXR","TEP","F","MESTIZO",25.25,17.793894417271,21.3,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",11,"DISAGREE","DONTKNOW","AGREE","DISAGREE",NA,NA,NA,0,4809.2,2,1,1,11
"60","HM5","XDV","F","MESTIZO",30.25,20.9777777777778,29.5625,"PENTECOSTAL","MORETHANONCEPERWEEK","MORETHANONCEPERDAY","YES",2,"AGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,3,4325.2,1,1,1,7
"61","E5B","TEP","F","MESTIZO",21.0833333333333,18.4,21.025,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",11,"AGREE","AGREE","AGREE","DISAGREE",NA,NA,NA,0,4809.2,2,1,1,14
"62","HYX","W2W","F","MESTIZO",24.9166666666667,33.9689152379426,30.225,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",6,"DISAGREE","DONTKNOW","AGREE","AGREE",NA,NA,NA,2,9754.2,2,1,1,10
"63","K95","XDV","M","MESTIZO",24.5,19.6244897959184,29.5625,"PENTECOSTAL","ONCEPERWEEK","EVERYDAY","YES",2,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,1,4325.2,1,1,1,5
"64","F97","HHQ","M","MESTIZO",49.25,24.2389472551902,39.15,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",5,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,6,28314.2,2,1,2,7
"65","TGP","KQA","F","MESTIZO",19.0833333333333,20.0444444444444,21.125,"NONE","NEVER","EVERYDAY","YES",5,"DISAGREE","DISAGREE","AGREE","AGREE",NA,NA,NA,1,16305,2,1,1,31
