"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"BPJ",6,1,16,1,8,39,5,4,1,5,0,3,1,21,7,18,12,1,14,24,0,1,17,12,4,6,3,7,2,2,4,2,27,13,4,3,1,55,21,14,6,1,2,1,9,22,1,3,0,1,4,41,7,4,31,0,1,7,5,5,4,7,1,1,6,19,1,16,0,5,4,3,1,13,5,21,1,3,32,5,0,13,1,1,12,4,4,4,26,2,2,3,4,7,0,0,4,2,4,4,6,16,1,5,3,7,6,45,6,7,2,4,2,20,12,3,3,8,4,6,19,6,5,3,5,3,3,7,8,35,17,6,6,10,0,6
"BTK",9,4,13,4,5,36,8,7,4,8,3,0,4,18,10,15,9,4,11,21,3,2,14,9,7,9,0,10,1,1,7,5,24,10,7,0,2,52,18,11,3,4,5,4,6,19,4,6,3,2,1,38,4,7,28,3,2,4,8,8,1,4,4,2,3,16,4,13,3,8,7,0,4,10,8,18,4,6,29,8,3,10,4,4,9,7,7,7,23,5,5,0,7,10,3,3,7,5,7,7,9,13,4,8,0,10,3,42,9,10,5,1,1,17,9,6,6,5,7,3,16,9,2,6,2,6,0,10,5,32,14,3,9,7,3,3
"CBB",5,0,17,0,9,40,4,3,0,4,1,4,0,22,6,19,13,0,15,25,1,2,18,13,3,5,4,6,3,3,3,1,28,14,3,4,2,56,22,15,7,0,1,0,10,23,0,2,1,2,5,42,8,3,32,1,2,8,4,4,5,8,0,2,7,20,0,17,1,4,3,4,0,14,4,22,0,2,33,4,1,14,0,0,13,3,3,3,27,1,1,4,3,6,1,1,3,1,3,3,5,17,0,4,4,6,7,46,5,6,1,5,3,21,13,2,2,9,3,7,20,5,6,2,6,2,4,6,9,36,18,7,5,11,1,7
"CDP",27,22,5,22,13,18,26,25,22,26,21,18,22,0,28,3,9,22,7,3,21,20,4,9,25,27,18,28,19,19,25,23,6,8,25,18,20,34,0,7,15,22,23,22,12,1,22,24,21,20,17,20,14,25,10,21,20,14,26,26,17,14,22,20,15,2,22,5,21,26,25,18,22,8,26,0,22,24,11,26,21,8,22,22,9,25,25,25,5,23,23,18,25,28,21,21,25,23,25,25,27,5,22,26,18,28,15,24,27,28,23,17,19,1,9,24,24,13,25,15,2,27,16,24,16,24,18,28,13,14,4,15,27,11,21,15
"CRF",1,6,23,6,15,46,2,3,6,2,7,10,6,28,0,25,19,6,21,31,7,8,24,19,3,1,10,0,9,9,3,5,34,20,3,10,8,62,28,21,13,6,5,6,16,29,6,4,7,8,11,48,14,3,38,7,8,14,2,2,11,14,6,8,13,26,6,23,7,2,3,10,6,20,2,28,6,4,39,2,7,20,6,6,19,3,3,3,33,5,5,10,3,0,7,7,3,5,3,3,1,23,6,2,10,0,13,52,1,0,5,11,9,27,19,4,4,15,3,13,26,1,12,4,12,4,10,0,15,42,24,13,1,17,7,13
"D00",24,19,2,19,10,21,23,22,19,23,18,15,19,3,25,0,6,19,4,6,18,17,1,6,22,24,15,25,16,16,22,20,9,5,22,15,17,37,3,4,12,19,20,19,9,4,19,21,18,17,14,23,11,22,13,18,17,11,23,23,14,11,19,17,12,1,19,2,18,23,22,15,19,5,23,3,19,21,14,23,18,5,19,19,6,22,22,22,8,20,20,15,22,25,18,18,22,20,22,22,24,2,19,23,15,25,12,27,24,25,20,14,16,2,6,21,21,10,22,12,1,24,13,21,13,21,15,25,10,17,1,12,24,8,18,12
"D01",18,13,4,13,4,27,17,16,13,17,12,9,13,9,19,6,0,13,2,12,12,11,5,0,16,18,9,19,10,10,16,14,15,1,16,9,11,43,9,2,6,13,14,13,3,10,13,15,12,11,8,29,5,16,19,12,11,5,17,17,8,5,13,11,6,7,13,4,12,17,16,9,13,1,17,9,13,15,20,17,12,1,13,13,0,16,16,16,14,14,14,9,16,19,12,12,16,14,16,16,18,4,13,17,9,19,6,33,18,19,14,8,10,8,0,15,15,4,16,6,7,18,7,15,7,15,9,19,4,23,5,6,18,2,12,6
"D7A",5,0,17,0,9,40,4,3,0,4,1,4,0,22,6,19,13,0,15,25,1,2,18,13,3,5,4,6,3,3,3,1,28,14,3,4,2,56,22,15,7,0,1,0,10,23,0,2,1,2,5,42,8,3,32,1,2,8,4,4,5,8,0,2,7,20,0,17,1,4,3,4,0,14,4,22,0,2,33,4,1,14,0,0,13,3,3,3,27,1,1,4,3,6,1,1,3,1,3,3,5,17,0,4,4,6,7,46,5,6,1,5,3,21,13,2,2,9,3,7,20,5,6,2,6,2,4,6,9,36,18,7,5,11,1,7
"D85",20,15,2,15,6,25,19,18,15,19,14,11,15,7,21,4,2,15,0,10,14,13,3,2,18,20,11,21,12,12,18,16,13,1,18,11,13,41,7,0,8,15,16,15,5,8,15,17,14,13,10,27,7,18,17,14,13,7,19,19,10,7,15,13,8,5,15,2,14,19,18,11,15,1,19,7,15,17,18,19,14,1,15,15,2,18,18,18,12,16,16,11,18,21,14,14,18,16,18,18,20,2,15,19,11,21,8,31,20,21,16,10,12,6,2,17,17,6,18,8,5,20,9,17,9,17,11,21,6,21,3,8,20,4,14,8
"DE2",30,25,8,25,16,15,29,28,25,29,24,21,25,3,31,6,12,25,10,0,24,23,7,12,28,30,21,31,22,22,28,26,3,11,28,21,23,31,3,10,18,25,26,25,15,2,25,27,24,23,20,17,17,28,7,24,23,17,29,29,20,17,25,23,18,5,25,8,24,29,28,21,25,11,29,3,25,27,8,29,24,11,25,25,12,28,28,28,2,26,26,21,28,31,24,24,28,26,28,28,30,8,25,29,21,31,18,21,30,31,26,20,22,4,12,27,27,16,28,18,5,30,19,27,19,27,21,31,16,11,7,18,30,14,24,18
