"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"BPJ",1,3,2,1,2,3,3,2,0,1,0,2,3,3,2,2,0,0,1,0,2,1,1,2,0,0,0,0,1,2,1,0,4,1,2,1,1,2,2,2,1,0,1,0,0,2,3,2,2,2,1,0,1,1,2,0,2,1,0,4,1,1,0,0,1,3,1,1,1,1,2,1,1,1,2,2,1,1,3,1,1,2,0,4,0,2,2,1,3,0,0,0,4,1,0,3,4,0,3,1,1,1,3,0,1,0,3,2,0,2,0,1,3,3,2,1,0,3,0,1,2,1,3,1,3,2,2,1,1,0,3,1,2,2,3,1
"BTK",3,1,1,1,0,0,1,0,2,1,2,0,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,1,1,2,1,1,3,0,1,1,3,1,2,1,1,2,2,3,0,1,1,1,1,1,1,1,0,2,0,1,0,2,1,3,1,2,2,2,3,2,3,1,0,1,1,1,1,1,0,1,1,2,0,1,0,0,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,0,2,2,1,2,1,3,1,3,1,1,2,1,1,1,3,1,2,2,2,2,2,1
"CBB",1,2,1,4,2,2,2,3,3,2,3,2,0,0,3,3,3,3,2,3,3,4,2,3,3,3,3,3,4,1,4,3,1,2,3,2,3,3,3,3,4,3,2,1,3,1,2,3,1,1,2,3,2,4,1,3,1,3,2,1,4,2,3,3,4,2,2,2,4,2,3,4,2,4,1,1,2,2,2,1,4,3,3,1,3,3,1,2,0,3,3,0,1,2,2,2,1,3,2,2,4,4,0,1,4,3,0,3,3,3,3,4,0,2,3,2,3,0,3,2,3,2,2,4,0,3,3,2,2,2,0,2,3,1,0,4
"CDP",1,2,1,4,2,2,2,3,3,2,3,2,0,0,3,3,3,3,2,3,3,4,2,3,3,3,3,3,4,1,4,3,1,2,3,2,3,3,3,3,4,3,2,1,3,1,2,3,1,1,2,3,2,4,1,3,1,3,2,1,4,2,3,3,4,2,2,2,4,2,3,4,2,4,1,1,2,2,2,1,4,3,3,1,3,3,1,2,0,3,3,0,1,2,2,2,1,3,2,2,4,4,0,1,4,3,0,3,3,3,3,4,0,2,3,2,3,0,3,2,3,2,2,4,0,3,3,2,2,2,0,2,3,1,0,4
"CRF",2,3,2,1,0,1,3,2,2,0,2,1,3,3,0,0,1,2,1,2,0,1,0,0,1,1,2,1,1,2,1,1,2,1,0,0,1,2,2,2,1,1,1,1,1,2,1,0,2,2,0,2,0,1,1,2,2,1,0,2,1,0,1,1,1,1,1,2,1,2,2,1,3,1,1,1,1,3,1,2,1,2,1,2,1,0,3,2,2,1,2,0,2,2,1,3,2,2,3,1,1,1,2,1,1,1,2,2,2,0,2,1,3,1,2,1,1,3,1,3,0,3,3,1,3,0,0,3,3,1,3,1,2,4,3,1
"D00",2,3,2,1,0,1,3,2,2,0,2,1,3,3,0,0,1,2,1,2,0,1,0,0,1,1,2,1,1,2,1,1,2,1,0,0,1,2,2,2,1,1,1,1,1,2,1,0,2,2,0,2,0,1,1,2,2,1,0,2,1,0,1,1,1,1,1,2,1,2,2,1,3,1,1,1,1,3,1,2,1,2,1,2,1,0,3,2,2,1,2,0,2,2,1,3,2,2,3,1,1,1,2,1,1,1,2,2,2,0,2,1,3,1,2,1,1,3,1,3,0,3,3,1,3,0,0,3,3,1,3,1,2,4,3,1
"D01",1,2,2,0,1,2,2,1,0,1,0,1,3,3,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,3,1,1,0,0,1,1,1,0,0,1,0,0,2,2,1,2,2,1,0,1,0,2,0,2,0,0,3,0,1,0,0,0,2,1,1,0,1,1,0,1,0,2,2,1,1,2,1,0,1,0,3,0,1,2,1,3,0,0,0,3,1,0,2,3,0,2,1,0,0,3,0,0,0,3,1,0,1,0,0,3,2,1,1,0,3,0,1,1,1,2,0,3,1,1,1,1,0,3,1,1,2,3,0
"D7A",1,3,2,1,2,3,3,2,0,1,0,2,3,3,2,2,0,0,1,0,2,1,1,2,0,0,0,0,1,2,1,0,4,1,2,1,1,2,2,2,1,0,1,0,0,2,3,2,2,2,1,0,1,1,2,0,2,1,0,4,1,1,0,0,1,3,1,1,1,1,2,1,1,1,2,2,1,1,3,1,1,2,0,4,0,2,2,1,3,0,0,0,4,1,0,3,4,0,3,1,1,1,3,0,1,0,3,2,0,2,0,1,3,3,2,1,0,3,0,1,2,1,3,1,3,2,2,1,1,0,3,1,2,2,3,1
"D85",1,4,1,2,1,2,4,3,1,0,1,2,2,2,1,1,1,1,0,1,1,2,0,1,1,1,1,1,2,1,2,1,3,0,1,1,2,3,3,3,2,1,0,0,1,1,2,1,1,1,0,1,0,2,1,1,1,2,0,3,2,0,1,1,2,2,0,2,2,2,3,2,2,2,1,1,0,2,2,1,2,3,1,3,1,1,3,2,2,1,1,0,3,2,1,4,3,1,4,0,2,2,2,0,2,1,2,3,1,1,1,2,2,2,3,0,1,2,1,2,1,2,4,2,2,1,1,2,2,1,2,0,3,3,2,2
"DE2",1,3,2,1,2,3,3,2,0,1,0,2,3,3,2,2,0,0,1,0,2,1,1,2,0,0,0,0,1,2,1,0,4,1,2,1,1,2,2,2,1,0,1,0,0,2,3,2,2,2,1,0,1,1,2,0,2,1,0,4,1,1,0,0,1,3,1,1,1,1,2,1,1,1,2,2,1,1,3,1,1,2,0,4,0,2,2,1,3,0,0,0,4,1,0,3,4,0,3,1,1,1,3,0,1,0,3,2,0,2,0,1,3,3,2,1,0,3,0,1,2,1,3,1,3,2,2,1,1,0,3,1,2,2,3,1
"DJ9",2,3,2,1,0,1,3,2,2,0,2,1,3,3,0,0,1,2,1,2,0,1,0,0,1,1,2,1,1,2,1,1,2,1,0,0,1,2,2,2,1,1,1,1,1,2,1,0,2,2,0,2,0,1,1,2,2,1,0,2,1,0,1,1,1,1,1,2,1,2,2,1,3,1,1,1,1,3,1,2,1,2,1,2,1,0,3,2,2,1,2,0,2,2,1,3,2,2,3,1,1,1,2,1,1,1,2,2,2,0,2,1,3,1,2,1,1,3,1,3,0,3,3,1,3,0,0,3,3,1,3,1,2,4,3,1
"E3U",2,2,3,0,1,2,2,1,1,1,1,1,4,4,1,1,0,1,2,1,1,0,1,1,0,0,1,0,0,3,0,0,3,2,1,0,0,1,1,1,0,0,2,1,0,3,2,1,3,3,1,1,1,0,2,1,3,0,0,3,0,1,0,0,0,2,2,1,0,1,1,0,2,0,2,2,2,2,2,2,0,1,0,3,0,1,2,1,3,0,1,0,3,1,0,2,3,1,2,2,0,0,3,1,0,0,3,1,1,1,1,0,4,2,1,2,0,4,0,2,1,2,2,0,4,1,1,2,2,0,4,2,1,3,4,0
"E4T",1,3,1,1,0,1,3,2,1,0,1,1,2,2,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,2,0,0,0,1,2,2,2,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,2,1,0,1,1,1,1,0,2,1,2,2,1,2,1,1,1,0,2,1,1,1,2,1,2,1,0,3,2,2,1,1,0,2,2,1,3,2,1,3,0,1,1,2,0,1,1,2,2,1,0,1,1,2,1,2,0,1,2,1,2,0,2,3,1,2,0,0,2,2,1,2,0,2,3,2,1
"EEJ",2,3,2,1,0,1,3,2,2,0,2,1,3,3,0,0,1,2,1,2,0,1,0,0,1,1,2,1,1,2,1,1,2,1,0,0,1,2,2,2,1,1,1,1,1,2,1,0,2,2,0,2,0,1,1,2,2,1,0,2,1,0,1,1,1,1,1,2,1,2,2,1,3,1,1,1,1,3,1,2,1,2,1,2,1,0,3,2,2,1,2,0,2,2,1,3,2,2,3,1,1,1,2,1,1,1,2,2,2,0,2,1,3,1,2,1,1,3,1,3,0,3,3,1,3,0,0,3,3,1,3,1,2,4,3,1
"FFJ",1,2,2,0,1,2,2,1,0,1,0,1,3,3,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,3,1,1,0,0,1,1,1,0,0,1,0,0,2,2,1,2,2,1,0,1,0,2,0,2,0,0,3,0,1,0,0,0,2,1,1,0,1,1,0,1,0,2,2,1,1,2,1,0,1,0,3,0,1,2,1,3,0,0,0,3,1,0,2,3,0,2,1,0,0,3,0,0,0,3,1,0,1,0,0,3,2,1,1,0,3,0,1,1,1,2,0,3,1,1,1,1,0,3,1,1,2,3,0
"FPP",1,2,2,0,1,2,2,1,0,1,0,1,3,3,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,3,1,1,0,0,1,1,1,0,0,1,0,0,2,2,1,2,2,1,0,1,0,2,0,2,0,0,3,0,1,0,0,0,2,1,1,0,1,1,0,1,0,2,2,1,1,2,1,0,1,0,3,0,1,2,1,3,0,0,0,3,1,0,2,3,0,2,1,0,0,3,0,0,0,3,1,0,1,0,0,3,2,1,1,0,3,0,1,1,1,2,0,3,1,1,1,1,0,3,1,1,2,3,0
"FSK",1,3,2,1,2,3,3,2,0,1,0,2,3,3,2,2,0,0,1,0,2,1,1,2,0,0,0,0,1,2,1,0,4,1,2,1,1,2,2,2,1,0,1,0,0,2,3,2,2,2,1,0,1,1,2,0,2,1,0,4,1,1,0,0,1,3,1,1,1,1,2,1,1,1,2,2,1,1,3,1,1,2,0,4,0,2,2,1,3,0,0,0,4,1,0,3,4,0,3,1,1,1,3,0,1,0,3,2,0,2,0,1,3,3,2,1,0,3,0,1,2,1,3,1,3,2,2,1,1,0,3,1,2,2,3,1
"FTC",1,2,2,0,1,2,2,1,0,1,0,1,3,3,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,3,1,1,0,0,1,1,1,0,0,1,0,0,2,2,1,2,2,1,0,1,0,2,0,2,0,0,3,0,1,0,0,0,2,1,1,0,1,1,0,1,0,2,2,1,1,2,1,0,1,0,3,0,1,2,1,3,0,0,0,3,1,0,2,3,0,2,1,0,0,3,0,0,0,3,1,0,1,0,0,3,2,1,1,0,3,0,1,1,1,2,0,3,1,1,1,1,0,3,1,1,2,3,0
"FYB",2,2,3,0,1,2,2,1,1,1,1,1,4,4,1,1,0,1,2,1,1,0,1,1,0,0,1,0,0,3,0,0,3,2,1,0,0,1,1,1,0,0,2,1,0,3,2,1,3,3,1,1,1,0,2,1,3,0,0,3,0,1,0,0,0,2,2,1,0,1,1,0,2,0,2,2,2,2,2,2,0,1,0,3,0,1,2,1,3,0,1,0,3,1,0,2,3,1,2,2,0,0,3,1,0,0,3,1,1,1,1,0,4,2,1,2,0,4,0,2,1,2,2,0,4,1,1,2,2,0,4,2,1,3,4,0
"G87",2,3,0,3,1,1,3,2,2,1,2,1,1,1,2,2,2,2,1,2,2,3,1,2,2,2,2,2,3,0,3,2,2,1,2,1,2,2,2,2,3,2,1,0,2,2,1,2,0,2,1,2,1,3,2,2,2,2,1,2,3,1,2,2,3,1,1,1,3,1,4,3,3,3,2,2,1,3,3,2,3,2,2,2,2,2,2,1,1,2,2,0,2,1,1,3,2,2,3,1,3,3,1,1,3,2,1,4,2,2,2,3,1,1,4,1,2,1,2,3,2,3,3,3,1,2,2,1,3,2,1,1,4,2,1,3
"G8X",2,2,3,0,1,2,2,1,1,1,1,1,4,4,1,1,0,1,2,1,1,0,1,1,0,0,1,0,0,3,0,0,3,2,1,0,0,1,1,1,0,0,2,1,0,3,2,1,3,3,1,1,1,0,2,1,3,0,0,3,0,1,0,0,0,2,2,1,0,1,1,0,2,0,2,2,2,2,2,2,0,1,0,3,0,1,2,1,3,0,1,0,3,1,0,2,3,1,2,2,0,0,3,1,0,0,3,1,1,1,1,0,4,2,1,2,0,4,0,2,1,2,2,0,4,1,1,2,2,0,4,2,1,3,4,0
"GAN",1,2,2,0,1,2,2,1,0,1,0,1,3,3,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,3,1,1,0,0,1,1,1,0,0,1,0,0,2,2,1,2,2,1,0,1,0,2,0,2,0,0,3,0,1,0,0,0,2,1,1,0,1,1,0,1,0,2,2,1,1,2,1,0,1,0,3,0,1,2,1,3,0,0,0,3,1,0,2,3,0,2,1,0,0,3,0,0,0,3,1,0,1,0,0,3,2,1,1,0,3,0,1,1,1,2,0,3,1,1,1,1,0,3,1,1,2,3,0
"GHR",2,1,2,3,1,1,1,2,4,2,4,1,1,1,2,2,3,4,3,4,2,3,2,2,3,3,4,3,3,2,3,3,0,3,2,1,2,2,2,2,3,3,3,2,3,2,1,2,2,2,2,4,2,3,1,4,2,2,2,0,3,2,3,3,3,1,3,2,3,2,2,3,3,3,1,1,3,3,1,2,3,2,3,0,3,2,1,2,0,3,4,0,0,2,2,1,0,4,1,3,3,3,0,2,3,3,0,2,4,2,4,3,1,1,2,3,3,1,3,3,2,3,1,3,1,2,2,3,3,2,1,3,2,2,1,3
"GJ3",1,4,1,2,1,2,4,3,1,0,1,2,2,2,1,1,1,1,0,1,1,2,0,1,1,1,1,1,2,1,2,1,3,0,1,1,2,3,3,3,2,1,0,0,1,1,2,1,1,1,0,1,0,2,1,1,1,2,0,3,2,0,1,1,2,2,0,2,2,2,3,2,2,2,1,1,0,2,2,1,2,3,1,3,1,1,3,2,2,1,1,0,3,2,1,4,3,1,4,0,2,2,2,0,2,1,2,3,1,1,1,2,2,2,3,0,1,2,1,2,1,2,4,2,2,1,1,2,2,1,2,0,3,3,2,2
"GPM",2,3,2,1,0,1,3,2,2,0,2,1,3,3,0,0,1,2,1,2,0,1,0,0,1,1,2,1,1,2,1,1,2,1,0,0,1,2,2,2,1,1,1,1,1,2,1,0,2,2,0,2,0,1,1,2,2,1,0,2,1,0,1,1,1,1,1,2,1,2,2,1,3,1,1,1,1,3,1,2,1,2,1,2,1,0,3,2,2,1,2,0,2,2,1,3,2,2,3,1,1,1,2,1,1,1,2,2,2,0,2,1,3,1,2,1,1,3,1,3,0,3,3,1,3,0,0,3,3,1,3,1,2,4,3,1
"GVM",2,1,1,0,0,0,1,0,1,0,1,0,2,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,2,0,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,1,2,1,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,2,0,1,1,0,2,0,2,0,2,1,0,2,0,0,1,2,0,2,1,1,2,2,0
"GWF",2,1,2,0,1,1,1,0,1,1,1,0,3,3,1,1,0,1,2,1,1,0,1,1,0,0,1,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,2,1,0,3,1,1,2,3,1,1,1,0,2,1,3,0,0,2,0,1,0,0,0,1,2,0,0,0,1,0,2,0,2,2,2,2,2,2,0,0,0,2,0,1,1,0,2,0,1,0,2,0,0,1,2,1,1,2,0,0,2,1,0,0,2,1,1,1,1,0,3,1,1,2,0,3,0,2,1,2,1,0,3,1,1,1,2,0,3,2,1,2,3,0
"GWU",3,1,2,1,1,1,1,0,2,2,2,0,3,3,2,2,1,2,3,2,2,1,2,2,1,1,2,1,1,2,1,1,2,3,2,0,0,0,0,0,1,1,3,1,1,4,1,2,2,4,2,2,2,1,3,2,4,0,1,2,1,2,1,1,1,1,3,0,1,0,2,1,3,1,3,3,3,3,3,3,1,0,1,2,1,2,1,0,2,1,2,0,2,0,0,1,2,2,1,3,1,1,2,2,1,1,2,2,2,2,2,1,3,1,2,3,1,3,1,3,2,3,1,1,3,2,2,1,3,1,3,3,2,2,3,1
"GWW",3,1,2,1,1,1,1,0,2,2,2,0,3,3,2,2,1,2,3,2,2,1,2,2,1,1,2,1,1,2,1,1,2,3,2,0,0,0,0,0,1,1,3,1,1,4,1,2,2,4,2,2,2,1,3,2,4,0,1,2,1,2,1,1,1,1,3,0,1,0,2,1,3,1,3,3,3,3,3,3,1,0,1,2,1,2,1,0,2,1,2,0,2,0,0,1,2,2,1,3,1,1,2,2,1,1,2,2,2,2,2,1,3,1,2,3,1,3,1,3,2,3,1,1,3,2,2,1,3,1,3,3,2,2,3,1
"H6C",3,1,2,1,1,1,1,0,2,2,2,0,3,3,2,2,1,2,3,2,2,1,2,2,1,1,2,1,1,2,1,1,2,3,2,0,0,0,0,0,1,1,3,1,1,4,1,2,2,4,2,2,2,1,3,2,4,0,1,2,1,2,1,1,1,1,3,0,1,0,2,1,3,1,3,3,3,3,3,3,1,0,1,2,1,2,1,0,2,1,2,0,2,0,0,1,2,2,1,3,1,1,2,2,1,1,2,2,2,2,2,1,3,1,2,3,1,3,1,3,2,3,1,1,3,2,2,1,3,1,3,3,2,2,3,1
"HGG",2,2,3,0,1,2,2,1,1,1,1,1,4,4,1,1,0,1,2,1,1,0,1,1,0,0,1,0,0,3,0,0,3,2,1,0,0,1,1,1,0,0,2,1,0,3,2,1,3,3,1,1,1,0,2,1,3,0,0,3,0,1,0,0,0,2,2,1,0,1,1,0,2,0,2,2,2,2,2,2,0,1,0,3,0,1,2,1,3,0,1,0,3,1,0,2,3,1,2,2,0,0,3,1,0,0,3,1,1,1,1,0,4,2,1,2,0,4,0,2,1,2,2,0,4,1,1,2,2,0,4,2,1,3,4,0
"HJX",1,2,2,0,1,2,2,1,0,1,0,1,3,3,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,3,1,1,0,0,1,1,1,0,0,1,0,0,2,2,1,2,2,1,0,1,0,2,0,2,0,0,3,0,1,0,0,0,2,1,1,0,1,1,0,1,0,2,2,1,1,2,1,0,1,0,3,0,1,2,1,3,0,0,0,3,1,0,2,3,0,2,1,0,0,3,0,0,0,3,1,0,1,0,0,3,2,1,1,0,3,0,1,1,1,2,0,3,1,1,1,1,0,3,1,1,2,3,0
"HM9",1,4,1,2,1,2,4,3,1,0,1,2,2,2,1,1,1,1,0,1,1,2,0,1,1,1,1,1,2,1,2,1,3,0,1,1,2,3,3,3,2,1,0,0,1,1,2,1,1,1,0,1,0,2,1,1,1,2,0,3,2,0,1,1,2,2,0,2,2,2,3,2,2,2,1,1,0,2,2,1,2,3,1,3,1,1,3,2,2,1,1,0,3,2,1,4,3,1,4,0,2,2,2,0,2,1,2,3,1,1,1,2,2,2,3,0,1,2,1,2,1,2,4,2,2,1,1,2,2,1,2,0,3,3,2,2
"HRA",1,2,0,1,1,1,2,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,2,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,2,1,0,0,0,1,1,0,0,1,0,2,1,1,1,1,1,0,1,2,1,1,1,0,2,0,1,1,0,1,0,0,0,2,0,0,2,2,0,2,0,1,1,1,0,1,0,1,2,0,1,0,1,1,1,2,0,0,1,0,1,1,1,2,1,1,1,1,0,1,0,1,0,2,1,1,1
"J0A",1,2,2,0,1,2,2,1,0,1,0,1,3,3,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,3,1,1,0,0,1,1,1,0,0,1,0,0,2,2,1,2,2,1,0,1,0,2,0,2,0,0,3,0,1,0,0,0,2,1,1,0,1,1,0,1,0,2,2,1,1,2,1,0,1,0,3,0,1,2,1,3,0,0,0,3,1,0,2,3,0,2,1,0,0,3,0,0,0,3,1,0,1,0,0,3,2,1,1,0,3,0,1,1,1,2,0,3,1,1,1,1,0,3,1,1,2,3,0
"J3M",0,3,2,3,2,3,3,4,2,1,2,3,1,1,2,2,2,2,1,2,2,3,1,2,2,2,2,2,3,2,3,2,2,1,2,2,3,4,4,4,3,2,1,1,2,0,3,2,2,0,1,2,1,3,0,2,0,3,1,2,3,1,2,2,3,3,1,3,3,3,2,3,1,3,0,0,1,1,1,0,3,4,2,2,2,2,2,3,1,2,2,0,2,3,2,3,2,2,3,1,3,3,1,0,3,2,1,2,2,2,2,3,1,3,2,1,2,1,2,1,2,1,3,3,1,2,2,3,1,1,1,1,2,2,1,3
