"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"DUB",2,0,5,2,9,6,9,2,6,2,2,0,9,9,4,2,7,4,6,2,3,1,9,8,4,4,9,7,9,1,6,6,7,9,9,9,1,2,4,2,6,3,4,9,4,1,1,0,0,8,7,2,9,9,2,9,2,9,9,9,2,9,6,6,3,7,6,8,4,5,8,9,7,3,3,9,0,1,1,4,1,8,4,4,5,7,3,9,6,4,6,6,0,1,6,8,3,1,2,5,9,9,6,0,7,9,9,6,8,4,4,0,3,9,9,2,1
"DWH",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"DY7",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"DYG",2,4,9,6,5,2,5,6,2,6,6,4,5,5,0,2,3,0,2,6,1,5,5,12,0,0,5,3,5,3,2,2,3,5,5,5,5,2,0,6,2,7,0,5,0,5,3,4,4,4,3,2,5,5,6,5,6,13,5,5,6,5,2,2,7,3,2,4,8,1,4,5,3,1,1,5,4,3,5,0,3,4,0,0,1,3,1,5,2,0,10,2,4,5,10,4,1,3,2,9,5,5,2,4,3,5,5,2,4,0,0,4,1,5,5,2,5
"E1F",0,2,7,4,7,4,7,4,4,4,4,2,7,7,2,0,5,2,4,4,1,3,7,10,2,2,7,5,7,1,4,4,5,7,7,7,3,0,2,4,4,5,2,7,2,3,1,2,2,6,5,0,7,7,4,7,4,11,7,7,4,7,4,4,5,5,4,6,6,3,6,7,5,1,1,7,2,1,3,2,1,6,2,2,3,5,1,7,4,2,8,4,2,3,8,6,1,1,0,7,7,7,4,2,5,7,7,4,6,2,2,2,1,7,7,0,3
"ERD",5,7,12,9,2,1,2,9,1,9,9,7,2,2,3,5,0,3,1,9,4,8,2,15,3,3,2,0,2,6,1,1,0,2,2,2,8,5,3,9,1,10,3,2,3,8,6,7,7,1,0,5,2,2,9,2,9,16,2,2,9,2,1,1,10,0,1,1,11,2,1,2,0,4,4,2,7,6,8,3,6,1,3,3,2,0,4,2,1,3,13,1,7,8,13,1,4,6,5,12,2,2,1,7,0,2,2,1,1,3,3,7,4,2,2,5,8
"F06",2,4,9,6,5,2,5,6,2,6,6,4,5,5,0,2,3,0,2,6,1,5,5,12,0,0,5,3,5,3,2,2,3,5,5,5,5,2,0,6,2,7,0,5,0,5,3,4,4,4,3,2,5,5,6,5,6,13,5,5,6,5,2,2,7,3,2,4,8,1,4,5,3,1,1,5,4,3,5,0,3,4,0,0,1,3,1,5,2,0,10,2,4,5,10,4,1,3,2,9,5,5,2,4,3,5,5,2,4,0,0,4,1,5,5,2,5
"F3C",4,6,11,8,3,0,3,8,0,8,8,6,3,3,2,4,1,2,0,8,3,7,3,14,2,2,3,1,3,5,0,0,1,3,3,3,7,4,2,8,0,9,2,3,2,7,5,6,6,2,1,4,3,3,8,3,8,15,3,3,8,3,0,0,9,1,0,2,10,1,2,3,1,3,3,3,6,5,7,2,5,2,2,2,1,1,3,3,0,2,12,0,6,7,12,2,3,5,4,11,3,3,0,6,1,3,3,0,2,2,2,6,3,3,3,4,7
"F6V",4,2,3,0,11,8,11,0,8,0,0,2,11,11,6,4,9,6,8,0,5,1,11,6,6,6,11,9,11,3,8,8,9,11,11,11,1,4,6,0,8,1,6,11,6,1,3,2,2,10,9,4,11,11,0,11,0,7,11,11,0,11,8,8,1,9,8,10,2,7,10,11,9,5,5,11,2,3,1,6,3,10,6,6,7,9,5,11,8,6,4,8,2,1,4,10,5,3,4,3,11,11,8,2,9,11,11,8,10,6,6,2,5,11,11,4,1
"FCZ",1,3,8,5,6,3,6,5,3,5,5,3,6,6,1,1,4,1,3,5,0,4,6,11,1,1,6,4,6,2,3,3,4,6,6,6,4,1,1,5,3,6,1,6,1,4,2,3,3,5,4,1,6,6,5,6,5,12,6,6,5,6,3,3,6,4,3,5,7,2,5,6,4,0,0,6,3,2,4,1,2,5,1,1,2,4,0,6,3,1,9,3,3,4,9,5,0,2,1,8,6,6,3,3,4,6,6,3,5,1,1,3,0,6,6,1,4
"FF2",3,1,4,1,10,7,10,1,7,1,1,1,10,10,5,3,8,5,7,1,4,0,10,7,5,5,10,8,10,2,7,7,8,10,10,10,0,3,5,1,7,2,5,10,5,0,2,1,1,9,8,3,10,10,1,10,1,8,10,10,1,10,7,7,2,8,7,9,3,6,9,10,8,4,4,10,1,2,0,5,2,9,5,5,6,8,4,10,7,5,5,7,1,0,5,9,4,2,3,4,10,10,7,1,8,10,10,7,9,5,5,1,4,10,10,3,0
"FKB",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"G0A",10,8,3,6,17,14,17,6,14,6,6,8,17,17,12,10,15,12,14,6,11,7,17,0,12,12,17,15,17,9,14,14,15,17,17,17,7,10,12,6,14,5,12,17,12,7,9,8,8,16,15,10,17,17,6,17,6,1,17,17,6,17,14,14,5,15,14,16,4,13,16,17,15,11,11,17,8,9,7,12,9,16,12,12,13,15,11,17,14,12,2,14,8,7,2,16,11,9,10,3,17,17,14,8,15,17,17,14,16,12,12,8,11,17,17,10,7
"GC2",2,4,9,6,5,2,5,6,2,6,6,4,5,5,0,2,3,0,2,6,1,5,5,12,0,0,5,3,5,3,2,2,3,5,5,5,5,2,0,6,2,7,0,5,0,5,3,4,4,4,3,2,5,5,6,5,6,13,5,5,6,5,2,2,7,3,2,4,8,1,4,5,3,1,1,5,4,3,5,0,3,4,0,0,1,3,1,5,2,0,10,2,4,5,10,4,1,3,2,9,5,5,2,4,3,5,5,2,4,0,0,4,1,5,5,2,5
"GEB",2,4,9,6,5,2,5,6,2,6,6,4,5,5,0,2,3,0,2,6,1,5,5,12,0,0,5,3,5,3,2,2,3,5,5,5,5,2,0,6,2,7,0,5,0,5,3,4,4,4,3,2,5,5,6,5,6,13,5,5,6,5,2,2,7,3,2,4,8,1,4,5,3,1,1,5,4,3,5,0,3,4,0,0,1,3,1,5,2,0,10,2,4,5,10,4,1,3,2,9,5,5,2,4,3,5,5,2,4,0,0,4,1,5,5,2,5
"GKN",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"H7Z",5,7,12,9,2,1,2,9,1,9,9,7,2,2,3,5,0,3,1,9,4,8,2,15,3,3,2,0,2,6,1,1,0,2,2,2,8,5,3,9,1,10,3,2,3,8,6,7,7,1,0,5,2,2,9,2,9,16,2,2,9,2,1,1,10,0,1,1,11,2,1,2,0,4,4,2,7,6,8,3,6,1,3,3,2,0,4,2,1,3,13,1,7,8,13,1,4,6,5,12,2,2,1,7,0,2,2,1,1,3,3,7,4,2,2,5,8
"HAF",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"HAN",1,1,6,3,8,5,8,3,5,3,3,1,8,8,3,1,6,3,5,3,2,2,8,9,3,3,8,6,8,0,5,5,6,8,8,8,2,1,3,3,5,4,3,8,3,2,0,1,1,7,6,1,8,8,3,8,3,10,8,8,3,8,5,5,4,6,5,7,5,4,7,8,6,2,2,8,1,0,2,3,0,7,3,3,4,6,2,8,5,3,7,5,1,2,7,7,2,0,1,6,8,8,5,1,6,8,8,5,7,3,3,1,2,8,8,1,2
"JAX",4,6,11,8,3,0,3,8,0,8,8,6,3,3,2,4,1,2,0,8,3,7,3,14,2,2,3,1,3,5,0,0,1,3,3,3,7,4,2,8,0,9,2,3,2,7,5,6,6,2,1,4,3,3,8,3,8,15,3,3,8,3,0,0,9,1,0,2,10,1,2,3,1,3,3,3,6,5,7,2,5,2,2,2,1,1,3,3,0,2,12,0,6,7,12,2,3,5,4,11,3,3,0,6,1,3,3,0,2,2,2,6,3,3,3,4,7
"JEB",4,6,11,8,3,0,3,8,0,8,8,6,3,3,2,4,1,2,0,8,3,7,3,14,2,2,3,1,3,5,0,0,1,3,3,3,7,4,2,8,0,9,2,3,2,7,5,6,6,2,1,4,3,3,8,3,8,15,3,3,8,3,0,0,9,1,0,2,10,1,2,3,1,3,3,3,6,5,7,2,5,2,2,2,1,1,3,3,0,2,12,0,6,7,12,2,3,5,4,11,3,3,0,6,1,3,3,0,2,2,2,6,3,3,3,4,7
"JGV",5,7,12,9,2,1,2,9,1,9,9,7,2,2,3,5,0,3,1,9,4,8,2,15,3,3,2,0,2,6,1,1,0,2,2,2,8,5,3,9,1,10,3,2,3,8,6,7,7,1,0,5,2,2,9,2,9,16,2,2,9,2,1,1,10,0,1,1,11,2,1,2,0,4,4,2,7,6,8,3,6,1,3,3,2,0,4,2,1,3,13,1,7,8,13,1,4,6,5,12,2,2,1,7,0,2,2,1,1,3,3,7,4,2,2,5,8
"JPE",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"JUS",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"JZU",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"K4E",3,1,4,1,10,7,10,1,7,1,1,1,10,10,5,3,8,5,7,1,4,0,10,7,5,5,10,8,10,2,7,7,8,10,10,10,0,3,5,1,7,2,5,10,5,0,2,1,1,9,8,3,10,10,1,10,1,8,10,10,1,10,7,7,2,8,7,9,3,6,9,10,8,4,4,10,1,2,0,5,2,9,5,5,6,8,4,10,7,5,5,7,1,0,5,9,4,2,3,4,10,10,7,1,8,10,10,7,9,5,5,1,4,10,10,3,0
"K71",0,2,7,4,7,4,7,4,4,4,4,2,7,7,2,0,5,2,4,4,1,3,7,10,2,2,7,5,7,1,4,4,5,7,7,7,3,0,2,4,4,5,2,7,2,3,1,2,2,6,5,0,7,7,4,7,4,11,7,7,4,7,4,4,5,5,4,6,6,3,6,7,5,1,1,7,2,1,3,2,1,6,2,2,3,5,1,7,4,2,8,4,2,3,8,6,1,1,0,7,7,7,4,2,5,7,7,4,6,2,2,2,1,7,7,0,3
"M19",2,4,9,6,5,2,5,6,2,6,6,4,5,5,0,2,3,0,2,6,1,5,5,12,0,0,5,3,5,3,2,2,3,5,5,5,5,2,0,6,2,7,0,5,0,5,3,4,4,4,3,2,5,5,6,5,6,13,5,5,6,5,2,2,7,3,2,4,8,1,4,5,3,1,1,5,4,3,5,0,3,4,0,0,1,3,1,5,2,0,10,2,4,5,10,4,1,3,2,9,5,5,2,4,3,5,5,2,4,0,0,4,1,5,5,2,5
"MBS",4,2,3,0,11,8,11,0,8,0,0,2,11,11,6,4,9,6,8,0,5,1,11,6,6,6,11,9,11,3,8,8,9,11,11,11,1,4,6,0,8,1,6,11,6,1,3,2,2,10,9,4,11,11,0,11,0,7,11,11,0,11,8,8,1,9,8,10,2,7,10,11,9,5,5,11,2,3,1,6,3,10,6,6,7,9,5,11,8,6,4,8,2,1,4,10,5,3,4,3,11,11,8,2,9,11,11,8,10,6,6,2,5,11,11,4,1
"MK3",4,6,11,8,3,0,3,8,0,8,8,6,3,3,2,4,1,2,0,8,3,7,3,14,2,2,3,1,3,5,0,0,1,3,3,3,7,4,2,8,0,9,2,3,2,7,5,6,6,2,1,4,3,3,8,3,8,15,3,3,8,3,0,0,9,1,0,2,10,1,2,3,1,3,3,3,6,5,7,2,5,2,2,2,1,1,3,3,0,2,12,0,6,7,12,2,3,5,4,11,3,3,0,6,1,3,3,0,2,2,2,6,3,3,3,4,7
"MYQ",5,3,2,1,12,9,12,1,9,1,1,3,12,12,7,5,10,7,9,1,6,2,12,5,7,7,12,10,12,4,9,9,10,12,12,12,2,5,7,1,9,0,7,12,7,2,4,3,3,11,10,5,12,12,1,12,1,6,12,12,1,12,9,9,0,10,9,11,1,8,11,12,10,6,6,12,3,4,2,7,4,11,7,7,8,10,6,12,9,7,3,9,3,2,3,11,6,4,5,2,12,12,9,3,10,12,12,9,11,7,7,3,6,12,12,5,2
"N3A",2,4,9,6,5,2,5,6,2,6,6,4,5,5,0,2,3,0,2,6,1,5,5,12,0,0,5,3,5,3,2,2,3,5,5,5,5,2,0,6,2,7,0,5,0,5,3,4,4,4,3,2,5,5,6,5,6,13,5,5,6,5,2,2,7,3,2,4,8,1,4,5,3,1,1,5,4,3,5,0,3,4,0,0,1,3,1,5,2,0,10,2,4,5,10,4,1,3,2,9,5,5,2,4,3,5,5,2,4,0,0,4,1,5,5,2,5
"N67",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"N6Q",2,4,9,6,5,2,5,6,2,6,6,4,5,5,0,2,3,0,2,6,1,5,5,12,0,0,5,3,5,3,2,2,3,5,5,5,5,2,0,6,2,7,0,5,0,5,3,4,4,4,3,2,5,5,6,5,6,13,5,5,6,5,2,2,7,3,2,4,8,1,4,5,3,1,1,5,4,3,5,0,3,4,0,0,1,3,1,5,2,0,10,2,4,5,10,4,1,3,2,9,5,5,2,4,3,5,5,2,4,0,0,4,1,5,5,2,5
"NCW",3,1,4,1,10,7,10,1,7,1,1,1,10,10,5,3,8,5,7,1,4,0,10,7,5,5,10,8,10,2,7,7,8,10,10,10,0,3,5,1,7,2,5,10,5,0,2,1,1,9,8,3,10,10,1,10,1,8,10,10,1,10,7,7,2,8,7,9,3,6,9,10,8,4,4,10,1,2,0,5,2,9,5,5,6,8,4,10,7,5,5,7,1,0,5,9,4,2,3,4,10,10,7,1,8,10,10,7,9,5,5,1,4,10,10,3,0
"ND3",1,1,6,3,8,5,8,3,5,3,3,1,8,8,3,1,6,3,5,3,2,2,8,9,3,3,8,6,8,0,5,5,6,8,8,8,2,1,3,3,5,4,3,8,3,2,0,1,1,7,6,1,8,8,3,8,3,10,8,8,3,8,5,5,4,6,5,7,5,4,7,8,6,2,2,8,1,0,2,3,0,7,3,3,4,6,2,8,5,3,7,5,1,2,7,7,2,0,1,6,8,8,5,1,6,8,8,5,7,3,3,1,2,8,8,1,2
"NK4",2,0,5,2,9,6,9,2,6,2,2,0,9,9,4,2,7,4,6,2,3,1,9,8,4,4,9,7,9,1,6,6,7,9,9,9,1,2,4,2,6,3,4,9,4,1,1,0,0,8,7,2,9,9,2,9,2,9,9,9,2,9,6,6,3,7,6,8,4,5,8,9,7,3,3,9,0,1,1,4,1,8,4,4,5,7,3,9,6,4,6,6,0,1,6,8,3,1,2,5,9,9,6,0,7,9,9,6,8,4,4,0,3,9,9,2,1
"NR7",2,0,5,2,9,6,9,2,6,2,2,0,9,9,4,2,7,4,6,2,3,1,9,8,4,4,9,7,9,1,6,6,7,9,9,9,1,2,4,2,6,3,4,9,4,1,1,0,0,8,7,2,9,9,2,9,2,9,9,9,2,9,6,6,3,7,6,8,4,5,8,9,7,3,3,9,0,1,1,4,1,8,4,4,5,7,3,9,6,4,6,6,0,1,6,8,3,1,2,5,9,9,6,0,7,9,9,6,8,4,4,0,3,9,9,2,1
"P4Z",6,8,13,10,1,2,1,10,2,10,10,8,1,1,4,6,1,4,2,10,5,9,1,16,4,4,1,1,1,7,2,2,1,1,1,1,9,6,4,10,2,11,4,1,4,9,7,8,8,0,1,6,1,1,10,1,10,17,1,1,10,1,2,2,11,1,2,0,12,3,0,1,1,5,5,1,8,7,9,4,7,0,4,4,3,1,5,1,2,4,14,2,8,9,14,0,5,7,6,13,1,1,2,8,1,1,1,2,0,4,4,8,5,1,1,6,9
"P5W",5,7,12,9,2,1,2,9,1,9,9,7,2,2,3,5,0,3,1,9,4,8,2,15,3,3,2,0,2,6,1,1,0,2,2,2,8,5,3,9,1,10,3,2,3,8,6,7,7,1,0,5,2,2,9,2,9,16,2,2,9,2,1,1,10,0,1,1,11,2,1,2,0,4,4,2,7,6,8,3,6,1,3,3,2,0,4,2,1,3,13,1,7,8,13,1,4,6,5,12,2,2,1,7,0,2,2,1,1,3,3,7,4,2,2,5,8
"P64",0,2,7,4,7,4,7,4,4,4,4,2,7,7,2,0,5,2,4,4,1,3,7,10,2,2,7,5,7,1,4,4,5,7,7,7,3,0,2,4,4,5,2,7,2,3,1,2,2,6,5,0,7,7,4,7,4,11,7,7,4,7,4,4,5,5,4,6,6,3,6,7,5,1,1,7,2,1,3,2,1,6,2,2,3,5,1,7,4,2,8,4,2,3,8,6,1,1,0,7,7,7,4,2,5,7,7,4,6,2,2,2,1,7,7,0,3
"PN5",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"QD1",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
